track_id,track_name,album_name,album_id,popular,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,The Thrill Of It All (Special Edition),3TJz2UBNYJtlEly0sPeNrQ,True,0.681,0.372,5,-8.237,0.0432,0.64,0.0,0.169,0.476,91.873,3.35
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,Hot Fuss,1ujPmNlTMp41h4EG6OOBGR,True,0.352,0.911,1,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,3.716216666666667
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),622NFw5Yk0OReMJ2XWcXUh,True,0.736,0.704,3,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995,3.533333333333333
3LlAyCYU26dvFZBDUIMb7a,Demons,Night Visions,6nxDQi0FeEwccEPJeNySoS,True,0.505,0.71,3,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,2.9200000000000004
5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,SHADYXV,3CjuTytLZz3G9znXt2rJgU,True,0.692,0.744,2,-4.565,0.257,0.00868,0.000423,0.359,0.0612,171.374,5.441116666666667
1vnnXMrBeEWiRg3YCMCjQq,Despacito - Remix,VIDA,5C0YLr4OoRGFDaqdMQmkeH,True,0.649,0.798,2,-4.346,0.178,0.226,0.0,0.0711,0.857,177.899,3.840216666666667
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),El Dorado,270o30h7cAlEhBnbuSpFZq,True,0.701,0.716,7,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007,2.342216666666667
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Future Nostalgia,5lKlFlReHOLShQKyRv6AL9,True,0.702,0.825,6,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,3.3844
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),2Hjcfw8zHN4dJDZJGOzLd6,True,0.61,0.508,8,-6.682,0.152,0.297,0.0,0.384,0.758,178.818,2.2979333333333334
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,Jungle Rules,4c2p3TdN7NcQfCXyueCNnC,True,0.726,0.769,6,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985,3.898366666666667
47EiUVwUp4C9fGccaPuUCS,DÁKITI,DÁKITI,43dl8hP5uNN9s6YeeJA5fv,True,0.731,0.573,4,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928,3.4181666666666666
0JP9xo3adEtGSdUEISiszL,Moonlight,?,2Ti79nwTsont5ZHfdxIzAm,True,0.921,0.537,9,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009,2.2515
0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me for Being Antisocial,52u4anZbHd6UInnmHRFzba,True,0.896,0.586,10,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,3.2775499999999997
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BE,2qehskW9lYGWfYb0xPZkrS,True,0.746,0.765,6,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,3.3175666666666666
7ygpwy2qP3NbrxVkHvUhXY,Wonderwall - Remastered,Stop the Clocks,6lcZGrrlTM7c276ZTWh9Sx,True,0.375,0.893,2,-4.097,0.0406,0.000509,0.0,0.187,0.434,174.323,4.312883333333334
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,24K Magic,4PgleR09JVnm3zY1fW3XBA,True,0.853,0.56,1,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,3.4448833333333337
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,AM,78bpIziExqiI9qztvNFlQu,True,0.548,0.532,5,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,4.5399
3S4px9f4lceWdKf0gWciFu,Cheap Thrills,This Is Acting,77jAfTh3KH9K2reMOmTgOh,True,0.628,0.698,6,-5.608,0.105,0.0472,0.00143,0.0907,0.732,89.976,3.5277833333333333
5jsw9uXEGuKyJzs0boZ1bT,Stitches,Handwritten,0CnQ0JQajNswRjPkNYVG8m,True,0.752,0.754,1,-6.684,0.0615,0.0151,0.0,0.0486,0.755,149.789,3.448
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Illuminate (Deluxe),3wBabo4pmzsYjALMSKY7Iq,True,0.866,0.813,11,-4.063,0.0554,0.38,0.0,0.0779,0.969,121.998,3.324
